mesh_size,runtime,shape
$2^{3}$,0.481717745,Maximum
$2^{4}$,1.01653862,Maximum
$2^{5}$,1.781328996,Maximum
$2^{6}$,7.183995803,Maximum
$2^{7}$,28.53906433,Maximum
$2^{8}$,135.9068935,Maximum
$2^{3}$,0.121,Average
$2^{4}$,0.255,Average
$2^{5}$,1.051,Average
$2^{6}$,2.404,Average
$2^{7}$,10.715,Average
$2^{8}$,52.738,Average
$2^{3}$,0.042305708,Prediction
$2^{4}$,0.037638505,Prediction
$2^{5}$,0.139414946,Prediction
$2^{6}$,0.647264083,Prediction
$2^{7}$,3.311190208,Prediction
$2^{8}$,21.58304753,Prediction
$2^{3}$,0.016244078,Minimum
$2^{4}$,0.028406779,Minimum
$2^{5}$,0.104277611,Minimum
$2^{6}$,0.609688997,Minimum
$2^{7}$,3.055430889,Minimum
$2^{8}$,17.43371868,Minimum
