input_size,speedup,runtime,Auto-scheduler,shape
,,,,blank
$2^{10}$,1.058770098,0.0169542,0.0179506,Auto-shape Prediction
$2^{10}$,1.166729497,0.0153854,0.0179506,Manual-shape Prediction
$2^{11}$,1.183371819,0.0183616,0.0217286,Auto-shape Prediction
$2^{11}$,1.240698445,0.0175132,0.0217286,Manual-shape Prediction
$2^{12}$,1.091835924,0.032741,0.0357478,Auto-shape Prediction
$2^{12}$,1.122105105,0.0318578,0.0357478,Manual-shape Prediction
$2^{13}$,1.219495499,0.154846,0.188834,Auto-shape Prediction
$2^{13}$,1.648024995,0.114582,0.188834,Manual-shape Prediction
$2^{14}$,1.322856683,0.55953,0.740178,Auto-shape Prediction
$2^{14}$,1.830805039,0.404291,0.740178,Manual-shape Prediction
$2^{15}$,1.666951803,2.27961,3.8,Auto-shape Prediction
$2^{15}$,1.86753294,2.03477,3.8,Manual-shape Prediction
