mesh_size,runtime,shape
$2^{10}$,8.32452,Maximum
$2^{11}$,8.40058,Maximum
$2^{12}$,8.30626,Maximum
$2^{13}$,8.65984,Maximum
$2^{14}$,9.36484,Maximum
$2^{15}$,11.4,Maximum
$2^{10}$,0.6346,Average
$2^{11}$,0.7811,Average
$2^{12}$,0.604,Average
$2^{13}$,0.919,Average
$2^{14}$,1.1435,Average
$2^{15}$,3.375,Average
$2^{10}$,0.002309,Prediction
$2^{11}$,0.107198,Prediction
$2^{12}$,0.136053,Prediction
$2^{13}$,0.262614,Prediction
$2^{14}$,0.77503,Prediction
$2^{15}$,2.90731,Prediction
$2^{10}$,0.002247,Minimum
$2^{11}$,0.094401,Minimum
$2^{12}$,0.132497,Minimum
$2^{13}$,0.261921,Minimum
$2^{14}$,0.77503,Minimum
$2^{15}$,2.8957,Minimum
