mesh_size,runtime,shape
$2^{2}$,0.002441,Maximum
$2^{3}$,0.008033,Maximum
$2^{4}$,2.32131,Maximum
$2^{5}$,6.70524,Maximum
$2^{6}$,39.702,Maximum
$2^{7}$,223.52,Maximum
$2^{2}$,0.002441,Average
$2^{3}$,0.0065498,Average
$2^{4}$,1.147,Average
$2^{5}$,2.49416,Average
$2^{6}$,18.427,Average
$2^{7}$,68.16,Average
$2^{2}$,0.002441,Prediction
$2^{3}$,0.00618,Prediction
$2^{4}$,0.277371,Prediction
$2^{5}$,1.36529,Prediction
$2^{6}$,7.68341,Prediction
$2^{7}$,47.2433,Prediction
$2^{2}$,0.002441,Minimum
$2^{3}$,0.006179,Minimum
$2^{4}$,0.277371,Minimum
$2^{5}$,1.32484,Minimum
$2^{6}$,7.68146,Minimum
$2^{7}$,38.7793,Minimum
